figure,dist,mu,gamma,estimator,B,R,q_dev,mad_err,median_bias,sd_part,sd_samp,share,fail_t1
dists,t(3),1.0,2.5,Median-of-Ratios,5,101,0.04301862244450406,0.015026697655034726,0.000613687041432831,0.007886399128527252,0.020548732241661424,0.12838444589551165,0.023752475247524753
dists,t(3),1.0,2.5,Median-of-Ratios,25,20,0.04085061472546702,0.01432239431594684,0.0005964871701834573,0.0036659932529859063,0.020555574595195712,0.030826595805668402,0.016375
dists,t(3),1.0,2.5,Median-of-Ratios,101,5,0.04058344668475161,0.014176266275418237,0.0005177507679740012,0.0018072004351375375,0.02055758953341063,0.007668756172431335,0.0144
dists,t(3),1.0,2.5,Ratio-of-Medians,1,505,0.07459643011130963,0.025433162361318873,-0.0007341050347315359,0.03168496227955204,0.020969903034777023,0.6954042710261379,0.05
dists,t(3),1.0,2.5,Ratio-of-Medians,5,101,0.052337214635778985,0.018169014572610442,-0.0007355346356240355,0.01677634706921709,0.0209770685209645,0.3900933678617798,0.005242574257425743
dists,t(3),1.0,2.5,Ratio-of-Medians,25,20,0.04361930474843643,0.015268068481946007,-0.0006970030243413916,0.007765911340810162,0.020981019585353013,0.1204952353985291,0.000575
dists,t(3),1.0,2.5,Ratio-of-Medians,101,5,0.04165613910790419,0.014610692408940862,-0.0007365434354549838,0.0038798499823209614,0.020987665239012368,0.03304515579304835,0.0
dists,t(2.1),1.0,2.5,Median-of-Ratios,1,505,0.02538643853812403,0.008625838807479913,-0.0004526515899830885,0.007712379584497604,0.010352244670669171,0.3569209808291651,0.05
dists,t(2.1),1.0,2.5,Median-of-Ratios,5,101,0.021907777797709967,0.007459932743645259,-0.0004144931128460261,0.004119775517700276,0.010354520790389093,0.13666748260714529,0.022886138613861386
dists,t(2.1),1.0,2.5,Median-of-Ratios,25,20,0.0205775587035763,0.007008765788857896,-0.0003924223211104194,0.0019062937258156212,0.01035466890546046,0.03278171729295007,0.016375
dists,t(2.1),1.0,2.5,Median-of-Ratios,101,5,0.02016698927349792,0.006937634087439082,-0.0002513870173284638,0.0009548291179358006,0.010354592174344047,0.00843156140040148,0.0153
